ApprovedSymbol	Adipocyte Breast	Adipocyte Omental	Adipocyte Perirenal	Adipocyte Subcutaneous	Alveolar Epithelial	Amniotic Epithelial	Amniotic Membrane	Annulus Pulposus	Astrocyte Cerebellum	Astrocyte Cerebral Cortex	Basophils	Bronchial Epithelial	CD133+ Haematopoietic stem cell	CD14+ Monocyte derived Endothelial progenitor	CD14+ Monocytes	CD14+CD16+ Monocytes	CD14+CD16- Monocytes	CD14-CD16+ Monocytes	CD19+ B cells	CD34+ Haematopoietic stem cell	CD34+ progenitor	CD4+ T cells	CD4+CD25+CD45RA+ naive regulatory T cells	CD4+CD25+CD45RA- memory regulatory T cells	CD4+CD25-CD45RA+ naive conventional T cells	CD4+CD25-CD45RA- memory conventional T cells	CD8+ T cells	Cardiac Myocyte	Chondroblast	Chondrocyte	Chorionic Membrane	Ciliary Epithelial	Corneal Epithelial	Dendritic Monocyte Immature derived	Dendritic Plasmacytoid	ES cells	Endothelial Aortic	Endothelial Artery	Endothelial Lymphatic	Endothelial Microvascular	Endothelial Thoracic	Endothelial Umbilical Vein	Endothelial Vein	Eosinophils	Esophageal Epithelial	Fibroblast Aortic Adventitial	Fibroblast Cardiac	Fibroblast Choroid Plexus	Fibroblast Conjunctival	Fibroblast Dermal	Fibroblast Gingival	Fibroblast Lymphatic	Fibroblast Periodontal Ligament	Fibroblast Pulmonary Artery	Fibroblast Skin Normal	Gingival Epithelial	Granulocyte Macrophage progenitor	Hair Follicle Dermal Papilla	Hair Follicle Outer Root Sheath	Hepatic Sinusoidal Endothelial	Hepatic Stellate	Hepatocyte	Immature Langerhans	Intestinal Epithelial (polarized)	Iris Pigment Epithelial	Keratinocyte Epidermal	Keratinocyte Oral	Keratocytes	Lens Epithelial	Macrophage Monocyte derived	Mallassez derived	Mammary Epithelial	Mast cells	Mast cells stimulated	Mature Adipocyte	Melanocyte	Meningeal	Mesenchymal precursor Adipose	Mesenchymal precursor Bone Marrow	Mesenchymal precursor Cardiac	Mesenchymal stem cell Adipose	Mesenchymal stem cell Amniotic Membrane	Mesenchymal stem cell Bone Marrow	Mesenchymal stem cell Hepatic	Mesenchymal stem cell Umbilical	Mesenchymal stem cell Wharton's Jelly	Mesothelial	Migratory Langerhans	Multipot. Cord Blood Unrestrict. Somatic stem cell	Myoblast	Myotube	NK cells	Nasal Epithelial	Neural stem cell	Neurons	Neutrophils	Nucleus Pulposus	Olfactory Epithelial	Osteoblast	Osteocyte	Pancreatic Stromal	Pericytes	Placental Epithelial	Preadipocyte Breast	Preadipocyte Omental	Preadipocyte Perirenal	Preadipocyte Subcutaneous	Preadipocyte Visceral	Prostate Epithelial	Prostate Stromal	Renal Cortical Epithelial	Renal Epithelial	Renal Glomerular Endothelial	Renal Mesangial	Renal Proximal Tubular Epithelial	Reticulocyte	Retinal Pigment Epithelial	Salivary Acinar	Sebocyte	Sertoli	Skeletal Muscle	Skeletal Muscle Satellite	Small Airway Epithelial	Smooth Muscle Aortic	Smooth Muscle Brachiocephalic	Smooth Muscle Brain Vascular	Smooth Muscle Bronchial	Smooth Muscle Carotid	Smooth Muscle Colonic	Smooth Muscle Coronary Artery	Smooth Muscle Esophageal	Smooth Muscle Internal Thoracic Artery	Smooth Muscle Prostate	Smooth Muscle Pulmonary Artery	Smooth Muscle Subclavian Artery	Smooth Muscle Tracheal	Smooth Muscle Umbilical Artery	Smooth Muscle Umbilical Vein	Smooth Muscle Uterine	Synoviocyte	Tenocyte	Trabecular Meshwork	Tracheal Epithelial	Urothelial
NGFR	10.5242055857499	20.788720391406	20.9361245784089	1.93764801442602	0.471767552236968	0	0.261549890524871	0	12.1945164328469	0.536551031982524	0.307491639836834	4.62596584388817	0.587200878669695	0	0.257002093082576	0.491782031808666	0.0535751955656933	0.243552205019512	0.0864987452031525	2.89722493252585	0.941110924385898	0.72665193970317	0.0417966238476695	0.0668105352208157	0.0521207446276227	0	0.444211355992114	2.46000660554653	0.0482821729869413	0.39764297352555	0.349533690865873	0.094534817164068	41.9783171620369	0	0.902633481472178	7.38934071015824	0.141326985481003	0.139833145403302	0	0	0	0	0	0	5.66922267785295	0.177334191099179	1.6122572619164	13.3811440519156	0.70296429550139	0.275344927009025	0.423352148066185	0	0.568889147539616	1.13432183160021	8.4726408720289	7.36061271918496	2.55493176133945	5.85935680908876	0	63.4778759388628	31.1644613486616	22.1455963432452	0.11248694577575	3.19769940212095	0	3.2229701661124	10.5550827480724	0.488712457965487	2.62874137227557	0	0.882013310576277	16.5778152139655	2.38148591556775	14.7798971368783	0.980193837362369	44.7864774490686	7.28170439916956	0.255312075156066	1.37222539294253	0.113630818583913	22.6515749039526	0	0.0888073930053663	2.63277467025879	0.180873868463814	0	0	3.00678076122383	0	3.17456808025091	103.544257457156	1.12797188913996	4.22942236192042	8.00063502075194	2.02545387065681	0.249669007982394	0.622862012778817	0	0.276553752812555	0.990766575011086	0.0868836144680828	24.744957440475	0.303127571446259	0.280660094433073	0.149948997180972	2.96836132889982	1.48592263365111	0.277934114039116	3.21120619511694	0.402453818734969	0.0385076685522074	0.261449923058952	0	0.135473218771927	0	0	0	9.18232376508283	0.937193015034606	0	43.5788699776701	22.7320636825527	2.56954067231951	0.0770083950440223	0.09266210955196	0.353565387812687	0	0.159101623962969	0.558201488452631	0.0673941605244387	1.95053495635836	0.121856744815642	0.0707027159768565	0	0.183788447848708	3.27947376023317	0.232367623574812	0.0491245205065606	0.354761064070598	0.270201264128783	1.00843970432765	0.524902080367475	5.43198713534132	2.61980035534394
NGFRAP1	272.551694522781	404.188435191857	683.913402894689	177.244042464637	102.94228338628	107.090888086309	51.5743290720918	664.392423342732	214.344276766675	218.079255890952	7.57641398933747	101.620707895795	136.230603851369	29.4844419963537	4.98380444407462	0.492231703026366	0.707047193205053	0.265222236265453	2.59047433155009	76.3813845847723	93.3670759626945	24.3935657151451	51.4089269505996	32.6272878101394	30.2359887242425	31.1221565420405	21.1442644822709	292.872894768189	166.824135933724	133.477544148287	180.00122027189	255.345300376164	122.068208121847	5.29003323189943	5.05276636814171	443.882486694669	167.318501853816	193.746105563627	129.157024612497	144.045607183622	150.578420000766	267.658163490643	175.942378126759	5.8545089030242	137.805720477041	141.060727253678	168.950730707923	240.040199581927	187.222824035203	235.333944977881	294.604915607941	159.02661926725	262.007870780803	139.861881836306	154.392860960299	78.7393821145824	70.2606234368348	189.926546135152	714.386837153916	214.983312678667	199.274832283521	38.9727035859091	54.5235437505337	143.650496218356	169.508996574944	83.659823824285	141.845497982867	207.265237276252	198.172501153155	37.4231079039147	99.6602236864389	87.1988172444126	0.821287286757956	0	121.99007585397	133.573886626995	161.340473058264	181.818660662619	445.013993616397	218.282880558528	162.436584480687	249.340855716175	325.826828729569	422.289342706633	279.901227467379	125.65210771656	227.121123938675	11.1075543661953	211.74568807067	255.679269783043	137.020302860329	6.348362506118	86.4497569328954	253.31850691539	484.387625943365	9.74467530558363	505.232609142183	200.261947005255	181.946294494634	296.936955776733	202.786356168505	211.51412662684	100.999593380737	158.834029222125	189.280256947722	393.307876079226	205.029462606416	252.788049732456	118.310181099783	271.615394017674	115.595977884282	138.189656476618	238.480576176159	228.460797949732	132.760083011646	2.00713245944127	152.899001983569	162.911625678251	107.268485063554	179.966001425458	210.427895164733	227.4787157096	72.4343684965226	178.576369458003	144.429841710009	316.616330205376	282.210080823033	166.10706142544	336.432164610408	173.08408964734	219.922816329405	181.347417035595	258.594674347583	300.601590209846	188.308160336199	355.544575844761	146.376286846926	183.222651394619	174.897204586804	190.056270739393	221.159769517965	195.979057343212	108.341250129938	125.581500004702
NMUR1	0.19788945158077	0.148987031475763	0	1.19258043149415	0	0	0	0	0	0.045624808357628	4.45051443519046	0	0	0.935455296027682	3.08892803647029	0.070868099988348	0	0.0663055590663633	0.0347521116477481	0.263384084775077	0.280254281490768	0.0685338329998363	0.083593247695339	2.94672439249922	0.422350316921714	0.720856216932061	3.49447492387583	0	0.16711263687863	0	0.0305325311339541	0.0607898676190646	0	0	0	0.376477180580676	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195724164406275	0.23760057145641	0	0	0	0	0	0	0	0	0	0	0.393859937787603	0	0	0	0	0	0	0	0.234004265139238	0	0	9.00295237785237	2.46331618947972	22.9019819403841	0	0.0618231233887703	0.0779044366157413	0	0	0.108578728097912	0	0	0	0	0	0	0	0.119812427745791	0	0	21.0066991671437	0	0	0.111677510222899	0.387807512461072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351838762976253	0	0	0	0	0.170966750077593	0	0	0	0	0.112554522066201	0	0	0	0	0.127948895655667	0	0.190740629888352	0	0	0	0	0	0	0	0.0774558745249375	0	0	0.375755081777615	0	0.524902080367475	0	0
NMUR2	0	0	0	0	0	0	0.098988226944213	0	0	0	0	0	0	0	0	0.070868099988348	0	0	0	0	0	0	0	0.0216765579266463	0	0	0	0	0	0	0.568023957167037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122988438543114	0	0	0.0925884451585296	0	0.519747941742602	0	0.0559940427329533	0	0	0	0.136004450842369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127047312111231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273757186712697	0.201432415986037	0	0.115523005656622	1.36672765628483	0.10795795805107	0.677366093859632	0	0	0	0	0	0	0.0241676795730305	0	0	0	0	0	0	0	0	0.140419485412994	0	0	0	0	0	0	0	0.071705676102026	0	0.164647446479951	0	0	0.0320740375751707	0
NOTCH1	1.18733670948462	2.23827856084285	0	2.5329183488438	18.1335002799742	4.27188674408021	16.2843348849443	0.660764099704145	17.0675505396011	35.6781482114664	26.2007661706984	75.7474272915943	17.6160263600908	21.5175254205546	33.3532501650799	11.7515297360144	20.2634532801639	10.43026911319	10.3810783755066	15.0128928321794	37.1390948645315	13.9042634558636	11.657633288387	7.94521452263323	10.5562420873258	10.74495407253	12.6163792964866	19.0089651323409	7.08717596677561	6.12461126520015	9.22116844264149	7.60767391949736	139.694801418212	10.5202551722337	9.45896056966917	15.8973005500121	55.9207105326585	66.3245945413342	45.1334410196528	69.2015798891824	72.0919223380398	47.1813816663078	85.9663514205308	304.493854745265	160.918705240595	3.64757643316509	14.7005561063473	15.7418110734619	7.26396438684769	4.05464609079688	3.16727767604385	14.2759290935448	4.48914416129131	5.21788042536097	5.99459243993835	42.5563163157659	66.4282257948256	4.47581140739573	1.05749163288276	106.106547507817	19.6101812003355	14.7697703572214	12.3586044647201	3.81264159483652	1.71567810298526	75.6292195386515	44.3498652309357	7.51821647752812	14.692102440028	12.1942317546322	20.626082519235	70.6165360434228	24.5021233713083	5.91195885475132	28.8556984170623	7.98661231173162	20.8082350373755	3.63456903662224	3.12325679643523	3.79605504793358	7.15646925329496	8.77869737085116	5.02388427522587	4.81010952044131	3.33237240086493	2.32689088364	5.63438041435146	2.06969006711797	9.76721441594584	1.65644788489037	15.580606238179	27.9721440469596	41.7810967139797	39.055338726309	14.2378930953914	178.454792827537	2.94591406791323	2.14897499332963	4.18617330946728	4.86537081805416	4.17041349446798	38.1835317652343	12.5674302613993	1.26297042494883	1.2081173772424	2.96836132889982	9.2241709040958	4.35714185795672	29.0728439196038	5.2078380269023	17.2712322367865	21.345346586136	98.9844926356838	14.9562720896624	14.5452530831826	0.371065389347868	6.40904237210563	113.221689397376	71.0327467647531	1.6068392984416	6.52971564067855	3.196150210988	48.0366996174982	8.26872607406204	3.8826630481328	4.81693135254435	7.13402987828571	4.59282813569486	6.31586744023524	4.68493762592314	12.1908434772398	5.48416803545188	7.5618831853784	5.65040583101214	6.46274848064037	3.66545125004999	7.2779000471174	1.9637887199641	3.90237170477658	0.962617798852892	2.69801378653753	7.92010224679511	64.6288266037024	117.705193602688
NOTCH2	1.7485829196065	1.59199705781452	2.61701557230111	1.82430030492099	1.90677052971392	3.7443527876233	1.92788289383234	1.75877173827183	3.88528680257727	1.83438499307876	1.03522054713958	2.36701087800981	2.64240395401362	2.26397750274975	2.52062288477229	2.04417212258707	1.53737709605836	1.65580676337017	0.682871934059198	1.31692042387539	4.88546082350666	1.45977673530146	1.98852877465071	1.16238739711549	1.14574839957897	1.2461644467908	1.47691547495779	2.18624944423966	2.204625918759	2.40951609633324	1.27843109350951	1.84563048521635	1.6587962607921	1.3017696045064	1.07427830262733	1.55234565340989	1.07250784840412	0.899064195820246	0	1.17823026566092	0.772734054286748	0.816037590966509	1.24386243394124	5.23341175664321	2.6165643128552	0.683856237757498	1.07604458320614	2.02869838015671	0.937285727335186	1.92558479742117	1.74914200884386	2.70670671647862	2.00561892015607	1.02088964844019	2.03797411002552	1.25205757987646	8.94226116468806	2.02494506113976	2.21841145296271	0.369077727312324	1.2347220339942	4.02092465714877	3.05937434415238	0.860919069801795	0.857839051492628	0.847264573279022	0.833296006426766	1.85445554855539	1.58592483399163	2.18381962512355	0.884702198424287	1.58579255658314	2.73500244715381	0.492663237895943	1.3556979506709	0.667284459017923	2.74421796940413	2.11120841488586	2.04238887233074	1.35126832253594	3.49080511453944	1.05191341772657	2.2121190811691	1.8157837952315	1.8107197682805	1.55126058909334	2.3403051451484	1.24811264723023	2.94580577452801	2.01712403816293	0.979352392114111	1.14338056943323	0.279759015438889	1.93663509913238	0.683042140519479	5.75585584952998	2.33000691292728	1.63772033961256	1.58607144124395	1.90545818376888	1.91143951829783	2.96419519700478	3.17728889924214	0.776875710070627	1.0169282083789	1.48418066444991	1.73133467909492	1.5728776857173	0.822749161586861	1.12510344955385	1.2267991888111	2.96458233063754	0.632551921440585	3.34138973252225	0.563709785448895	0.459607540481353	1.75981529680671	0.849273128614376	0.89929566101443	0	2.13018028309674	1.22533276797456	1.1319884163748	1.89737610216495	0.985347317537733	1.97228959864625	0.93973457065659	2.45023595200259	2.1791496754494	1.76961844850384	1.95053495635836	2.43774941506082	1.60163486473907	0	1.394751001729	1.85200542946998	1.10815487194575	0.876316950486829	1.77380532035299	2.06868973539484	0.794260754474072	2.0575640021907	0.982532199676849	2.33033034602747
NOTCH3	39.2083922368773	60.7642285077394	61.0636966870258	23.073985277253	44.6509848090747	0.241104175179313	2.22046359040791	57.3881451701431	29.8800614093258	47.7786246371008	1.65137198203814	25.6361418475663	0.293600439334847	2.08427409409969	0.066848149156714	0.2811415014814	0.124944718378165	0.888791432939962	0	0	0.560508562981535	0	0	0.0213485532876125	0.174225873008295	0	0	36.9451158042801	124.95945336038	62.7060172629095	10.6055021809639	12.6441248272171	65.3697315115419	2.56610320247548	6.26009863114826	46.8826999416374	0.885884135493948	0.488661257343415	0.69048687545138	1.83300319792717	8.5064904527585	0.868191134806481	0.488537983814419	0	69.7750483428055	24.0502741259985	39.7880952897874	84.4510992219133	7.26396438684769	21.099556423322	31.7259605046515	42.6600214298481	78.069348938086	22.1192757162041	48.3141750342903	3.87721807923921	0	11.3851085726101	16.6602367437759	109.425530152295	38.5148969179388	3.4784885745267	77.7584762907393	14.2666588710012	8.92152613552333	14.1219877155696	8.05519472879208	4.39178264240573	19.6593111053477	6.57139978779722	3.35715737187785	5.13769451604403	0.822463293768642	0	64.7203063282909	5.52450294086609	15.5616568475836	26.7300504122152	41.7437609277634	32.6799199381115	112.180493361001	56.6967731197187	24.6297082865576	21.632239922435	7.79196799917784	7.88557466122444	6.30973518509569	0.14309835829419	198.889156232174	15.0258581590709	78.0810952621887	0	54.7895404702214	26.6577815501155	21.5151309268794	0	36.0856153937694	16.7503490768205	54.7762652488348	34.0041040737822	9.29654674808486	125.043307090002	1.56299820217278	37.0973234585015	56.2686805992417	51.9463232557468	21.585641355884	17.7025638416838	35.729143758585	17.262041886847	23.2457513017736	16.9283241811848	5.05765742086856	12.206604612991	10.8273037793526	0	10.8089209215982	85.9392738359376	24.3670183908998	6.42735719376638	25.9998866834763	17.7872943428788	55.0879447918598	45.8129687528718	24.2593438319321	22.6188849762506	3.7567742788538	88.9184624103899	7.40419704640528	39.9735892917555	3.90106991271672	20.3921291762294	22.036633979043	65.5447076397408	54.7842348993762	15.1249017077967	14.7724470653681	3.28222635500998	7.09522128141196	25.6862398297894	21.7167149996247	9.26302758173549	18.9826290197294	63.6509392006626
NOTCH4	0.288728641216048	0.148987031475763	0	0.087061876066613	1.29243568846015	0.241104175179313	0.399351581532383	0.62086241655192	0.205201763461313	0.731537402398326	5.69643769367544	0.324055282574429	3.81680571135302	0.074638491413308	3.89776885800514	3.58592656512467	1.29307128396331	4.1015470432638	6.05512941234197	1.05353633910031	4.42530034043872	1.13192711844507	0.162961133316795	0.100624702538968	0.0741432815810302	0.394128692151547	0.651769427660573	1.46246504709285	0.694466602583655	0.97326974060527	0.314544509717472	1.11741908138595	0	0.044319320172955	29.5238243297055	0.16615029557009	25.7608803743065	34.3330913223659	57.8034682149546	15.3365425324267	39.6093079478077	45.551261551738	40.1071260509086	9.80792142610611	0.872188104285069	0.671244661359806	1.41383901718687	0.454072282934794	0.468642863667593	0.758497004111756	0.176526893343499	1.17369882278525	0.29639563153332	1.70148274740031	0.141776930746394	0.288862384959631	0	0	0.593123704850782	46.2817259989465	0.2057870056657	15.2262132148017	0.386900977278975	0.122988438543114	0.343135620597051	0	0.277765335475589	0	1.38827262458427	0.131616056125375	0.047258365747462	0.157647067289353	1.22983450741898	0	31.9769361118363	0.965324070781503	0.931901604640915	0.177407638540324	0.719476151247749	0.875764330812765	4.22970699523495	1.04007436911366	0.733109415924388	0.53308792311382	0.27441344559359	0.387815147273333	0.033324330394019	0	0.119812427745791	0.116752543072654	0.267096106940212	5.0747390555023	0.622077260032973	4.25441213459845	1.29728174492062	1.3015610418619	0.669251672044642	0.229063271025818	0.0921845842708515	0.689820475283367	0.173767228936166	0.465273448099539	0.100796764443227	0.825704139992073	0.0854260995038007	0	0.598114007085473	0.371422344201642	0.261893796260549	0.24708187136563	0.192538342761037	0	102.497529404237	0.406419656315779	0.639009430300829	0.130717725512451	0.303281055160133	0.0569061590313167	0	0	0.256685316603082	0.819635106710171	1.30833221274042	0.5741865953346	1.24223398001265	0.210919616479151	0.255897791311334	1.18798243991445	0.0392708007818953	0.595761897767799	0.48763373908959	0.650107478599417	0.209655387657705	0	0.329938742933296	0.868163301400034	0.762445745591272	0.192535872710612	0.354761064070598	0.481308899426447	0	0	0.224518263026195	1.74600729879167
NPBWR2	0	0	0	0	0	0	0	0	0	0	0.127943132699071	0	0	0	0	0	0	0	0.695689250591249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPFFR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085858522544729	0	0	0.0374428770488317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203316041878302	0.165835709132438	0	0	0	0	0	0	0	0	0	0	0	0	0.234321431833797	0	0	0	0	0	0	0	0	0	0	0	0.2057870056657	0	0	0	0	0	0	0	0.0386434683250257	0	0	0	0.0878620172394332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153331876275017	0.119812427745791	0.0482604355558597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0382714827215357	0	0	0.0539789790255348	0.250844886927427	0	0	1.13425996535366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
